distance,std,rssi,correlation,invalid_01,invalid_02
3,0.088295,-65,0.784167,0.000000,0.000000
3,0.411289,-62,0.222866,0.000000,0.000000
3,0.287638,-62,0.441790,0.000000,0.000000
3,0.574359,-61,0.276767,0.000000,0.000000
3,0.410310,-60,0.473530,0.000000,0.000000
3,0.276033,-60,0.665087,0.000000,0.000000
3,0.439845,-62,0.505480,0.000000,0.000000
3,0.295132,-57,0.632373,0.000000,0.000000
3,0.391288,-60,0.553874,0.000000,0.000000
3,0.380935,-58,0.373916,0.000000,0.000000
3,0.368116,-55,0.593953,0.000000,0.000000
3,0.341368,-57,0.411795,0.000000,0.000000
3,0.311823,-56,0.568206,0.000000,0.000000
3,0.268640,-56,0.680580,0.000000,0.000000
3,0.285245,-58,0.615897,0.000000,0.000000
3,0.245793,-60,0.640518,0.000000,0.000000
3,0.285601,-59,0.644638,0.000000,0.000000
3,0.322385,-58,0.583596,0.000000,0.000000
3,0.409522,-56,0.360958,0.000000,0.000000
3,0.324305,-56,0.520080,0.000000,0.000000
3,0.171668,-58,0.539828,0.000000,0.000000
3,0.321232,-59,0.512854,0.000000,0.000000
3,0.487328,-55,0.221681,0.000000,0.000000
3,0.247463,-59,0.700886,0.000000,0.000000
3,0.401366,-58,0.609342,0.000000,0.000000
3,0.252516,-58,0.634770,0.000000,0.000000
3,0.597551,-58,0.307114,0.000000,0.000000
3,0.258676,-61,0.766762,0.000000,0.000000
3,0.224537,-57,0.716334,0.000000,0.000000
3,0.113527,-59,0.770816,0.000000,0.000000
3,0.151681,-58,0.899962,0.000000,0.000000
3,0.150513,-59,0.748376,0.000000,0.000000
3,0.325929,-57,0.451706,0.000000,0.000000
3,0.238190,-58,0.735178,0.000000,0.000000
3,0.263067,-57,0.752507,0.000000,0.000000
3,0.671255,-58,-0.041804,0.000000,0.000000
3,0.480628,-59,0.291407,0.000000,0.000000
3,0.085495,-61,0.869398,0.000000,0.000000
3,0.603624,-60,0.223776,0.000000,0.000000
3,0.115100,-57,0.823017,0.000000,0.000000
3,0.159561,-55,0.692803,0.000000,0.000000
3,0.227183,-58,0.215262,0.000000,0.000000
3,0.360845,-63,0.379040,0.000000,0.000000
3,0.260795,-59,0.102467,0.000000,0.000000
3,0.584963,-60,0.333386,0.000000,0.000000
3,0.265862,-59,0.681151,0.000000,0.000000
3,0.338429,-60,0.293347,0.000000,0.000000
3,0.313494,-57,0.414812,0.000000,0.000000
3,0.176181,-57,0.681418,0.000000,0.000000
3,0.650344,-55,0.215776,0.000000,0.000000
6,0.447275,-65,0.090304,0.332004,0.603624
6,0.153471,-67,0.763113,0.326275,0.603624
6,0.341308,-66,0.574665,0.327467,0.603624
6,0.277764,-66,0.407867,0.320876,0.603624
6,0.379027,-65,0.418687,0.320181,0.603624
6,0.237871,-67,0.644116,0.319333,0.603624
6,0.427022,-66,0.416617,0.319048,0.603624
6,0.368247,-66,0.472568,0.320673,0.603624
6,0.555361,-67,0.297747,0.324319,0.603624
6,0.239974,-66,0.662070,0.321187,0.603624
6,0.086951,-66,0.814347,0.315564,0.603624
6,0.360476,-65,0.603344,0.315989,0.603624
6,0.317174,-66,0.597227,0.316108,0.603624
6,0.302786,-65,0.307201,0.316866,0.603624
6,0.321143,-65,0.607859,0.317664,0.603624
6,0.319244,-64,0.514688,0.319296,0.603624
6,0.134975,-65,0.783368,0.315949,0.603624
6,0.294569,-65,0.757854,0.315331,0.603624
6,0.309461,-67,0.662299,0.313107,0.603624
6,0.247244,-65,0.695600,0.311395,0.603624
6,0.086229,-64,0.855719,0.310103,0.603624
6,0.107701,-63,0.832477,0.305358,0.603624
6,0.065322,-64,0.868533,0.296461,0.603624
6,0.231550,-65,0.705423,0.296107,0.603624
6,0.126744,-67,0.709308,0.290004,0.603624
6,0.344482,-70,0.468021,0.292048,0.603624
6,0.129656,-68,0.780394,0.281650,0.603624
6,0.121930,-68,0.648708,0.278611,0.603624
6,0.217737,-67,0.536872,0.278460,0.603624
6,0.428499,-68,0.236469,0.285460,0.603624
6,0.550764,-68,0.386085,0.294328,0.603624
6,0.284746,-68,0.493341,0.297311,0.603624
6,0.254813,-69,0.596320,0.295731,0.603624
6,0.516045,-70,0.211648,0.301905,0.603624
6,0.257875,-68,0.454229,0.301519,0.591446
6,0.170847,-66,0.613206,0.294635,0.591446
6,0.390357,-71,0.657986,0.301378,0.591446
6,0.198722,-69,0.453611,0.292650,0.584963
6,0.241117,-69,0.647223,0.295451,0.584963
6,0.155484,-65,0.704621,0.295360,0.584963
6,0.285705,-67,0.696603,0.296661,0.584963
6,0.264391,-69,0.545741,0.294517,0.584963
6,0.427541,-68,0.577522,0.298223,0.584963
6,0.117092,-67,0.826761,0.287826,0.555361
6,0.469965,-67,0.448324,0.292361,0.555361
6,0.227832,-68,0.535985,0.289904,0.555361
6,0.389814,-65,0.627482,0.291600,0.555361
6,0.207163,-65,0.714274,0.292288,0.555361
6,0.208175,-65,0.710263,0.284573,0.550764
6,0.453975,-65,0.564604,0.284722,0.550764
9,0.370578,-67,0.232625,0.289546,0.550764
9,0.556130,-68,0.298435,0.294303,0.555361
9,0.542724,-66,0.361562,0.300191,0.555361
9,0.367536,-67,0.515519,0.299936,0.555361
9,0.294427,-66,0.459035,0.301192,0.555361
9,0.398410,-66,0.257697,0.300557,0.555361
9,0.498349,-66,0.253825,0.303448,0.555361
9,0.385448,-65,0.432213,0.299672,0.550764
9,0.329880,-66,0.358099,0.301670,0.550764
9,0.177080,-66,0.627347,0.303212,0.550764
9,0.258942,-65,0.576982,0.300955,0.550764
9,0.231555,-65,0.511245,0.299053,0.550764
9,0.301730,-65,0.292664,0.299029,0.550764
9,0.378482,-66,0.341719,0.300303,0.550764
9,0.291727,-66,0.508710,0.299692,0.550764
9,0.348910,-65,0.527426,0.304446,0.550764
9,0.354064,-64,0.383877,0.305768,0.550764
9,0.413871,-67,0.393562,0.308088,0.550764
9,0.303194,-65,0.427213,0.309332,0.550764
9,0.427426,-65,0.096668,0.316228,0.550764
9,0.275404,-65,0.463452,0.319639,0.550764
9,0.314720,-67,0.624700,0.323816,0.550764
9,0.290560,-66,0.566152,0.325127,0.550764
9,0.390091,-67,0.524675,0.330915,0.550764
9,0.295378,-68,0.474203,0.329823,0.550764
9,0.439026,-66,0.146756,0.336124,0.550764
9,0.451168,-68,0.420644,0.342354,0.550764
9,0.300467,-67,0.461198,0.344192,0.550764
9,0.400432,-66,0.233215,0.343568,0.550764
9,0.338889,-67,0.510114,0.338860,0.542724
9,0.457078,-69,0.368318,0.342690,0.542724
9,0.236717,-68,0.624678,0.342288,0.542724
9,0.403527,-67,0.406101,0.339787,0.542724
9,0.364099,-67,0.565316,0.335818,0.498349
9,0.264641,-65,0.639634,0.335968,0.498349
9,0.416412,-67,0.380092,0.341287,0.498349
9,0.328181,-67,0.477779,0.339905,0.498349
9,0.341615,-66,0.279875,0.343080,0.498349
9,0.511546,-65,0.077403,0.349090,0.511546
9,0.307759,-66,0.356293,0.351325,0.511546
9,0.294082,-65,0.425779,0.351511,0.511546
9,0.286923,-66,0.513448,0.352012,0.511546
9,0.398614,-67,0.575813,0.351369,0.511546
9,0.356712,-66,0.531608,0.354670,0.511546
9,0.314700,-68,0.491206,0.351220,0.511546
9,0.389958,-66,0.284328,0.354823,0.511546
9,0.328727,-67,0.291126,0.353465,0.511546
9,0.123795,-65,0.695847,0.353465,0.511546
9,0.335017,-66,0.566791,0.355764,0.511546
9,0.246692,-66,0.419575,0.351158,0.511546
9,0.307121,-67,0.314546,0.349748,0.511546
12,0.336855,-70,0.221640,0.345866,0.498349
12,0.437715,-71,0.272966,0.344518,0.457078
12,0.389181,-71,0.053816,0.344999,0.457078
12,0.454361,-70,0.063847,0.348554,0.457078
12,0.361924,-71,0.229890,0.347743,0.457078
12,0.447895,-69,0.180879,0.347539,0.454361
12,0.407035,-69,0.121952,0.348018,0.454361
12,0.181506,-67,0.709048,0.345833,0.454361
12,0.100799,-68,0.731954,0.345833,0.454361
12,0.234202,-68,0.572434,0.345284,0.454361
12,0.251664,-68,0.437063,0.345730,0.454361
12,0.166845,-67,0.651145,0.343059,0.454361
12,0.259411,-67,0.505603,0.340413,0.454361
12,0.163951,-67,0.686240,0.337638,0.454361
12,0.137561,-67,0.455231,0.333527,0.454361
12,0.175655,-67,0.479930,0.329563,0.454361
12,0.085660,-67,0.770682,0.323423,0.454361
12,0.065463,-67,0.803204,0.319436,0.454361
12,0.057885,-67,0.857908,0.312177,0.454361
12,0.228229,-68,0.507908,0.311129,0.454361
12,0.303818,-67,0.547851,0.310887,0.454361
12,0.196799,-70,0.525698,0.308803,0.454361
12,0.235158,-67,0.545322,0.305360,0.454361
12,0.382645,-68,0.290519,0.307300,0.454361
12,0.146438,-67,0.673781,0.300798,0.454361
12,0.467063,-70,0.332378,0.300929,0.457078
12,0.166318,-69,0.682264,0.297948,0.457078
12,0.124734,-68,0.740025,0.291821,0.457078
12,0.263168,-67,0.630714,0.290139,0.457078
12,0.320155,-67,0.593157,0.288202,0.454361
12,0.232960,-69,0.523120,0.284412,0.454361
12,0.393139,-72,0.351229,0.285057,0.454361
12,0.403070,-74,0.290486,0.288134,0.454361
12,0.291105,-70,0.521223,0.285349,0.454361
12,0.300492,-70,0.444971,0.285248,0.454361
12,0.314170,-68,0.303538,0.282133,0.447895
12,0.490692,-69,0.072968,0.285391,0.454361
12,0.224189,-68,0.480874,0.283838,0.454361
12,0.270572,-68,0.550047,0.283474,0.454361
12,0.174796,-68,0.690315,0.278501,0.454361
12,0.072516,-68,0.808784,0.272477,0.454361
12,0.270427,-68,0.492625,0.271493,0.454361
12,0.081731,-68,0.863509,0.264644,0.454361
12,0.118920,-68,0.700304,0.259981,0.454361
12,0.265892,-69,0.479003,0.263139,0.454361
12,0.198006,-69,0.639789,0.260094,0.454361
12,0.195779,-71,0.562752,0.258963,0.454361
12,0.217060,-71,0.553674,0.256962,0.454361
12,0.185070,-69,0.664981,0.253589,0.454361
15,0.514426,-73,0.062063,0.254241,0.467063
15,0.513391,-75,0.099172,0.256497,0.490692
15,0.298246,-74,0.416626,0.253027,0.490692
15,0.286359,-74,0.515382,0.251348,0.490692
15,0.206722,-73,0.694771,0.245989,0.490692
15,0.206093,-74,0.560173,0.241523,0.490692
15,0.103408,-75,0.794380,0.239788,0.490692
15,0.120413,-77,0.692779,0.240224,0.490692
15,0.092461,-75,0.855927,0.237074,0.490692
15,0.092017,-74,0.820861,0.233526,0.490692
15,0.252990,-75,0.388631,0.235441,0.490692
15,0.228050,-74,0.393453,0.234744,0.490692
15,0.160649,-70,0.736518,0.234670,0.490692
15,0.255799,-70,0.440324,0.237298,0.490692
15,0.289239,-71,0.450789,0.239822,0.490692
15,0.152662,-70,0.764293,0.241311,0.490692
15,0.205319,-70,0.614554,0.244057,0.490692
15,0.144957,-69,0.746500,0.245234,0.490692
15,0.194052,-69,0.671389,0.244474,0.490692
15,0.176838,-68,0.508116,0.241652,0.490692
15,0.096744,-67,0.835891,0.239429,0.490692
15,0.022733,-66,0.934752,0.236248,0.490692
15,0.067495,-68,0.814107,0.229561,0.490692
15,0.123642,-68,0.817327,0.229055,0.490692
15,0.090433,-69,0.792623,0.220685,0.490692
