distance,std,rssi,correlation,invalid_01,invalid_020;
0.121262;-9;0.734757;0.000000;0.000000
0;0.153175;-8;0.588403;0.000000;0.000000
0;0.115672;-8;0.772015;0.000000;0.000000
0;0.127467;-10;0.655383;0.000000;0.000000
0;0.100946;-9;0.760000;0.000000;0.000000
0;0.091816;-9;0.798346;0.000000;0.000000
0;0.106005;-9;0.722606;0.000000;0.000000
0;0.154498;-9;0.614018;0.000000;0.000000
0;0.137080;-9;0.653169;0.000000;0.000000
0;0.119379;-9;0.706100;0.000000;0.000000
0;0.110036;-9;0.637283;0.000000;0.000000
0;0.116560;-8;0.658224;0.000000;0.000000
0;0.114661;-8;0.648675;0.000000;0.000000
0;0.087923;-9;0.756754;0.000000;0.000000
0;0.163349;-8;0.500755;0.000000;0.000000
0;0.095750;-8;0.766752;0.000000;0.000000
0;0.110616;-9;0.684249;0.000000;0.000000
0;0.095502;-10;0.751454;0.000000;0.000000
0;0.130644;-9;0.650325;0.000000;0.000000
0;0.102799;-8;0.743432;0.000000;0.000000
0;0.111569;-9;0.704494;0.000000;0.000000
0;0.082084;-9;0.792559;0.000000;0.000000
0;0.094422;-9;0.795706;0.000000;0.000000
0;0.089773;-9;0.806465;0.000000;0.000000
0;0.070915;-9;0.827573;0.000000;0.000000
"0,05;0.029445;-16;0.864506;0.000000;0.000000"
"0,05;0.015278;-16;0.927001;0.000000;0.000000"
"0,05;0.011029;-15;0.942422;0.000000;0.000000"
"0,05;0.031838;-15;0.845035;0.000000;0.000000"
"0,05;0.020395;-16;0.904001;0.000000;0.000000"
"0,05;0.012426;-15;0.945715;0.000000;0.000000"
"0,05;0.020222;-16;0.909139;0.000000;0.000000"
"0,05;0.020962;-15;0.906762;0.000000;0.000000"
"0,05;0.014807;-15;0.933878;0.000000;0.000000"
"0,05;0.024744;-17;0.886628;0.000000;0.000000"
"0,05;0.013463;-15;0.928758;0.000000;0.000000"
"0,05;0.012627;-16;0.933238;0.000000;0.000000"
"0,05;0.011355;-15;0.944562;0.000000;0.000000"
"0,05;0.023437;-16;0.899247;0.000000;0.000000"
"0,05;0.027309;-15;0.857418;0.000000;0.000000"
"0,05;0.014858;-16;0.928849;0.000000;0.000000"
"0,05;0.031846;-15;0.840183;0.000000;0.000000"
"0,05;0.023914;-15;0.892615;0.000000;0.000000"
"0,05;0.018733;-15;0.916108;0.000000;0.000000"
"0,05;0.019069;-15;0.921171;0.000000;0.000000"
"0,05;0.014077;-16;0.929194;0.000000;0.000000"
"0,05;0.008216;-14;0.958875;0.000000;0.000000"
"0,05;0.007416;-15;0.965863;0.000000;0.000000"
"0,05;0.005490;-14;0.974956;0.000000;0.000000"
"0,05;0.006369;-15;0.965529;0.000000;0.000000"
"0,1;0.004371;-28;0.978669;0.000000;0.000000"
"0,1;0.006653;-29;0.970086;0.000000;0.000000"
"0,1;0.009426;-27;0.951341;0.000000;0.000000"
"0,1;0.009066;-27;0.956375;0.000000;0.000000"
"0,1;0.005347;-27;0.976942;0.000000;0.000000"
"0,1;0.005320;-27;0.974494;0.000000;0.000000"
"0,1;0.008511;-28;0.953490;0.000000;0.000000"
"0,1;0.007255;-28;0.969806;0.000000;0.000000"
"0,1;0.004442;-27;0.977356;0.000000;0.000000"
"0,1;0.003476;-27;0.982982;0.000000;0.000000"
"0,1;0.007629;-27;0.966529;0.000000;0.000000"
"0,1;0.008586;-26;0.966011;0.000000;0.000000"
"0,1;0.006154;-27;0.973915;0.000000;0.000000"
"0,1;0.007445;-28;0.959036;0.000000;0.000000"
"0,1;0.005632;-27;0.975057;0.000000;0.000000"
"0,1;0.006073;-28;0.971445;0.000000;0.000000"
"0,1;0.009390;-27;0.958853;0.000000;0.000000"
"0,1;0.008679;-27;0.956454;0.000000;0.000000"
"0,1;0.003457;-28;0.982029;0.000000;0.000000"
"0,1;0.008044;-27;0.960303;0.000000;0.000000"
"0,1;0.008195;-28;0.965093;0.000000;0.000000"
"0,1;0.009798;-27;0.955893;0.000000;0.000000"
"0,1;0.007075;-27;0.972164;0.000000;0.000000"
"0,1;0.007205;-27;0.970861;0.000000;0.000000"
"0,1;0.006999;-28;0.973812;0.000000;0.000000"
"0,15;0.002926;-38;0.984774;0.000000;0.000000"
"0,15;0.004355;-37;0.975479;0.000000;0.000000"
"0,15;0.003026;-37;0.987138;0.000000;0.000000"
"0,15;0.001700;-36;0.992558;0.000000;0.000000"
"0,15;0.001976;-37;0.991074;0.000000;0.000000"
"0,15;0.003048;-37;0.986933;0.000000;0.000000"
"0,15;0.002295;-37;0.989045;0.000000;0.000000"
"0,15;0.001615;-37;0.991194;0.000000;0.000000"
"0,15;0.001968;-37;0.990512;0.000000;0.000000"
"0,15;0.002639;-36;0.986314;0.000000;0.000000"
"0,15;0.002096;-37;0.987176;0.000000;0.000000"
"0,15;0.001866;-37;0.991877;0.000000;0.000000"
"0,15;0.002017;-37;0.988495;0.000000;0.000000"
"0,15;0.002992;-37;0.986768;0.000000;0.000000"
"0,15;0.003255;-37;0.986930;0.000000;0.000000"
"0,15;0.003651;-37;0.983382;0.000000;0.000000"
"0,15;0.002401;-37;0.988954;0.000000;0.000000"
"0,2;0.002182;-41;0.990051;0.000000;0.000000"
"0,2;0.001724;-40;0.992250;0.000000;0.000000"
"0,2;0.002378;-40;0.987723;0.000000;0.000000"
"0,2;0.003005;-41;0.987408;0.000000;0.000000"
"0,2;0.002734;-40;0.988754;0.000000;0.000000"
"0,2;0.002175;-40;0.989813;0.000000;0.000000"
"0,2;0.002607;-40;0.989086;0.000000;0.000000"
"0,2;0.001945;-40;0.990876;0.000000;0.000000"
"0,2;0.001977;-41;0.992755;0.000000;0.000000"
"0,2;0.002992;-41;0.986926;0.000000;0.000000"
"0,2;0.002097;-41;0.990069;0.000000;0.000000"
"0,2;0.002246;-40;0.989698;0.000000;0.000000"
"0,2;0.002324;-40;0.990358;0.000000;0.000000"
"0,2;0.002758;-40;0.987471;0.000000;0.000000"
"0,2;0.002045;-40;0.991281;0.000000;0.000000"
"0,2;0.002541;-40;0.988713;0.000000;0.000000"
"0,2;0.002172;-39;0.989138;0.000000;0.000000"
